"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000137673",394.957454039231,4.50782766416483,0.776631682446187,5.80433140451643,6.46233475688484e-09,1.15363488114068e-06,"MMP7"
"ENSG00000180432",210.859573266997,-5.60941292276022,0.966625953576972,-5.80308536306391,6.51056242023746e-09,1.15363488114068e-06,"CYP8B1"
"ENSG00000186007",18.5870487695916,3.90184444491723,0.672426398893881,5.80263423823877,6.52810923826906e-09,1.15363488114068e-06,"LEMD1"
"ENSG00000102595",196.847953975455,1.02319714634218,0.176333557033454,5.80262295819316,6.52854857249091e-09,1.15363488114068e-06,"UGGT2"
"ENSG00000101981",326.571573671181,-7.66768161553236,1.32162553842409,-5.80170509165201,6.56439409506655e-09,1.15363488114068e-06,"F9"
"ENSG00000166035",111.726437131677,-3.41408331619022,0.59098987916268,-5.77688965000099,7.60941557121314e-09,1.31437009075316e-06,"LIPC"
"ENSG00000049449",299.621823089176,1.13905863474996,0.197195043595948,5.77630458645753,7.63590916596878e-09,1.31437009075316e-06,"RCN1"
"ENSG00000134013",419.084798626513,1.7490602944805,0.303244549851111,5.76782103862793,8.03030125924701e-09,1.36357770909552e-06,"LOXL2"
"ENSG00000079335",116.072885682473,-1.2869428326675,0.223716873184882,-5.75255149218876,8.79064802196911e-09,1.48082662471932e-06,"CDC14A"
"ENSG00000139289",660.461575683099,1.92477295065959,0.334648187012952,5.75163119167023,8.83864524722047e-09,1.48082662471932e-06,"PHLDA1"
"ENSG00000149243",13.2341682418595,2.085728058818,0.362876906027509,5.74775639941078,9.0435401584303e-09,1.4922683694796e-06,"KLHL35"
"ENSG00000237037",22.4048466372894,-1.10592753253954,0.192416991411045,-5.74755651478323,9.05423415185959e-09,1.4922683694796e-06,"NDUFA6-DT"
"ENSG00000008300",177.337591934151,1.82138170690669,0.316928419995076,5.74698131185266,9.08507661972780e-09,1.4922683694796e-06,"CELSR3"
"ENSG00000040199",514.031475922631,-1.69060779054393,0.294394634453553,-5.74265829838234,9.32016812662233e-09,1.52094250123471e-06,"PHLPP2"
"ENSG00000149380",22.4223532910024,2.57711059344678,0.449430264386424,5.73417234588136,9.79896537669197e-09,1.58875999278481e-06,"P4HA3"
"ENSG00000234602",4.63479377153744,3.90627079559798,0.681528759677733,5.73163016252623,9.94699730323331e-09,1.60242300786895e-06,"MCIDAS"
